id,player_id,team_id,team_abbr,first_name,last_name,position,archetype,age,year,height,overall,shooting2,shooting3,finishing,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,potential_grade,pro_potential_grade,stamina,playtime_expectations,personality,free_agency,recruiting_bias,work_ethic,academic_bias,college_id,college,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,prime_age,is_free_agent,is_nba,is_g_league,is_two_way,is_waived,is_on_trade_block,is_first_team_anba,is_dpoy,is_mvp,is_international,is_super_max_qualified,max_requested,is_retiring,inside_proportion,mid_range_proportion,three_point_proportion,minutes,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,state,country,potential,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,drafted_round,previous_team_id,previous_team,is_accepting_offers,is_negotiating,minimum_value,signing_round,negotiation_round,recruiting_bias_value,has_progressed,rejections,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type,created_at,updated_at,deleted_at,stars,defense,is_int_generated,is_int_declared
1090,1090,17,"Milwaukee Bucks",Jeffrey,Rogan,SF,,26,3,6-8,83,22,11,21,18,12,16,20,14,C-,26,37,24,Average,"Championship seeking",Average,Loud,Distracted,49,ULL,38,38,17,"Milwaukee Bucks",29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,Wyoming,USA,62,0,0,0,0,0,0,1,0,0,2,0,,1,0,10,6,5,,1,0,10,13,0,,,0,0,0,,0,"2023-08-19 22:47:51.460","2026-02-15 19:06:34.877",NULL,3,0,0,0
1091,1091,0,FA,Jeffrey,Tice,SG,"Mid-Range Magician",26,3,5-11,57,21,12,5,19,22,11,4,1,A+,88,41,20,Average,Average,Average,Loud,Average,49,ULL,0,0,0,,29,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,SG,SF,,0,0,0,Alabama,USA,36,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,6,5,,1,0,11,11,0,,,0,0,0,,0,"2023-08-19 22:54:35.738","2026-02-15 19:06:35.302",NULL,3,0,0,0
1092,1092,24,"Phoenix Suns",Daniel,Capman,PG,"Sharp Shooter",25,2,6-1,88,24,34,12,19,18,19,14,14,D,26,35,9,Average,"Hates Cleveland",Legacy,Average,"Frequent visits to the principal",49,ULL,0,32,24,"Phoenix Suns",26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,"District of Columbia",USA,95,1,1,0,0,0,1,0,0,0,1,0,,0,0,10,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:40:51.109","2026-02-15 19:06:35.614",NULL,2,0,0,0
1093,1093,0,FA,Rolando,Martinez,C,"Rim Protector",25,2,6-10,89,7,12,14,6,16,30,26,16,B+,66,36,10,Average,"I'm the starter",Average,Average,Average,49,ULL,0,0,0,,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Illinois,USA,92,0,1,0,0,1,1,1,0,0,0,0,,1,0,10,5,4,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:56.686","2026-02-15 19:06:35.932",NULL,2,0,0,0
1094,1094,0,FA,Shawn,Carlson,C,"Stretch Bigs",25,2,6-9,57,2,4,13,4,11,18,13,12,C-,19,36,11,Paranoid,Average,Average,Loud,Average,49,ULL,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"Rhode Island",USA,33,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.6,7,6,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:57.130","2026-02-15 19:06:36.251",NULL,2,0,0,0
1095,1095,0,FA,Kyle,Parker,PF,"Pure Defender",24,3,6-8,89,24,4,18,20,18,22,14,16,D+,19,40,4,Average,Average,Average,Persistant,"Seeks out tutoring",49,ULL,0,0,0,,27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,PF,,0,0,0,Michigan,USA,70,1,0,0,0,0,1,1,1,0,0,0,,1,0,10,6,5,,1,0,15,8,0,,,0,0,0,,0,"2023-08-19 22:54:36.071","2026-02-15 19:06:36.570",NULL,4,0,0,0
1096,1096,18,MIN,Richard,Dutrow,C,"Stretch Bigs",24,3,7-0,76,5,15,20,7,6,20,19,23,A+,83,44,8,Average,Average,Average,Average,Average,49,ULL,0,0,0,,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Texas,USA,41,0,1,0,0,1,0,0,0,0,0,25,POR,0,0,1.7,7,6,,1,0,11,11,0,,,0,0,0,,0,"2023-08-19 22:54:36.354","2026-02-15 19:06:36.881",NULL,4,0,0,0
1097,1097,0,FA,William,Bodnar,PG,"Sharp Shooter",24,1,5-10,64,21,16,13,19,17,4,11,13,C-,25,41,0,Relaxed,Average,Average,Lazy,Average,49,ULL,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Canada,81,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,4,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:11.869","2026-02-15 19:06:37.184",NULL,2,0,0,0
1102,1102,31,"Vancouver Sea Lions",Oswaldo,Reyes,PF,,26,3,6-8,86,25,9,18,23,11,23,14,16,A+,97,37,25,Average,Average,"Prefers to play for an up-and-coming team",Average,Average,50,ULM,0,0,0,,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Ohio,USA,51,1,0,0,1,0,0,0,0,0,0,0,,0,0,10,6,5,,1,0,9,11,0,,,0,0,0,,0,"2023-08-19 22:54:36.646","2026-02-15 19:06:37.498",NULL,4,0,0,0
1103,1103,16,"Miami Heat",Robert,Roulo,SF,Slasher,26,3,6-7,80,17,6,23,19,22,10,11,12,A+,88,39,15,Average,Average,Multi-Sport,Average,"Studies hard",50,ULM,0,0,0,,26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SF,SG,,0,0,0,Missouri,USA,39,0,0,1,1,1,0,1,1,0,0,0,,0,0,10,5,4,,1,0,11,16,0,,,0,0,0,,0,"2023-08-19 22:54:36.933","2026-02-15 19:06:37.808",NULL,3,0,0,0
1104,1104,0,FA,Joshua,Kennedy,PF,"Pure Defender",26,3,6-7,97,20,7,28,12,20,24,12,13,A-,69,44,20,Disloyal,Average,Average,"Focuses on Max Weight","Didn't come here to play school",50,ULM,0,0,0,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF,,,0,0,0,Maryland,USA,74,1,0,1,0,1,1,0,0,0,0,0,,1,0,20,5,4,,1,0,11,14,0,,,0,0,0,,0,"2023-08-19 22:54:37.225","2026-02-15 19:06:38.126",NULL,3,0,0,0
1105,1105,0,FA,Aaron,Brinkley,PF,"Pure Defender",25,3,6-6,97,17,15,24,19,18,24,10,19,F,16,37,4,Motivational,Average,Average,Average,Average,50,ULM,0,0,0,,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SF,PF,,0,0,0,,Spain,88,0,0,0,0,1,1,0,1,0,0,0,,1,0,20,5,4,,1,0,3,5,0,,,0,0,0,,0,"2023-08-19 22:54:37.510","2026-02-15 19:06:38.430",NULL,3,0,0,0
1106,1106,0,FA,Alex,Alonzo,C,"Stretch Bigs",25,2,6-9,71,5,17,13,12,8,18,23,20,C,28,35,4,"Book Worm",Average,Average,Average,"Seeks out tutoring",50,ULM,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Brazil,78,0,0,0,1,0,0,1,0,0,0,0,,1,0,1.6,5,4,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:57.580","2026-02-15 19:06:38.750",NULL,2,0,0,0
1107,1107,0,FA,Douglas,Roland,C,"Rim Protector",25,3,7-0,85,15,15,21,11,10,19,20,24,B-,53,45,5,Average,Average,Average,Complacent,Average,50,ULM,0,0,0,,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,PF,,0,0,0,,Spain,48,1,1,0,0,1,1,0,1,0,0,0,,1,0,10,6,5,,1,0,3,6,0,,,0,0,0,,0,"2023-08-19 22:54:37.793","2026-02-15 19:06:39.066",NULL,4,0,0,0
1108,1108,0,FA,Ernesto,Peralta,C,"Stretch Bigs",24,1,7-0,76,8,14,21,7,7,21,17,19,C+,45,35,0,Stoic,Average,"Prefers to be close to home","Focuses on Max Weight",Average,50,ULM,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Connecticut,USA,65,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:12.314","2026-02-15 19:06:39.431",NULL,3,0,0,0
1109,1109,0,FA,Rajendra,Gray,PG,"Floor General",24,1,6-5,72,17,17,16,18,22,8,10,9,A+,96,35,0,Average,"Hates Cleveland",Average,Average,Average,50,ULM,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Texas,USA,49,1,1,1,0,1,1,0,0,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:12.779","2026-02-15 19:06:39.756",NULL,2,0,0,0
1110,1110,0,FA,Edward,Abell,PG,"Sharp Shooter",24,1,6-1,71,20,25,8,20,18,11,13,14,C,28,43,0,Average,"Wants extensions",Average,Average,"Wants to finish degree",50,ULM,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Russia,94,0,1,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:13.241","2026-02-15 19:06:40.071",NULL,3,0,0,0
1115,1115,0,FA,Jason,Quinones,SG,,26,3,5-10,76,19,21,18,27,20,9,5,10,B-,47,40,19,Relaxed,Average,Average,Average,"Wants to finish degree",51,LT,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Poland,83,0,0,0,1,0,0,0,0,0,0,0,,1,0,1.7,7,6,,1,0,17,12,0,,,0,0,0,,0,"2023-08-19 22:54:38.074","2026-02-15 19:06:40.390",NULL,2,0,0,0
1116,1116,0,FA,Manuel,Soria,SG,"Mid-Range Magician",26,3,6-4,91,28,25,10,20,27,20,10,10,C+,46,41,21,Average,Average,"Prefers to play for an up-and-coming team",Average,"Sits at the back of the class",51,LT,0,0,0,,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,Virginia,USA,91,0,1,0,0,1,1,0,0,0,0,0,,1,0,20,5,4,,1,0,11,14,0,,,0,0,0,,0,"2023-08-19 22:54:38.361","2026-02-15 19:06:40.709",NULL,2,0,0,0
1117,1117,0,FA,Gerard,Stulken,C,"Rim Protector",26,3,7-1,71,11,6,14,11,8,20,20,21,A+,94,37,12,Average,Average,Fanboy,Average,Average,51,LT,0,0,0,,27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,Luxembourg,31,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,4,3,,1,0,10,14,0,,,0,0,0,,0,"2023-08-19 22:54:38.652","2026-02-15 19:06:41.026",NULL,3,0,0,0
1118,1118,0,FA,Martin,Castaneda,C,"Stretch Bigs",25,2,6-10,70,6,9,13,6,17,20,12,15,C,35,45,1,Average,Average,Average,"Footwork king",Average,51,LT,0,0,0,,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"South Dakota",USA,38,0,1,0,0,1,0,1,0,0,0,0,,1,0,1.6,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:58.142","2026-02-15 19:06:41.337",NULL,3,0,0,0
1119,1119,0,FA,Matthew,Griffin,SG,"Sharp Shooter",25,2,6-1,85,23,24,16,17,29,6,22,5,C+,51,31,17,Average,Average,Average,Average,Average,51,LT,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Russia,95,1,1,1,0,1,0,1,0,0,0,0,,1,0,10,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:58.586","2026-02-15 19:06:41.648",NULL,2,0,0,0
1120,1120,0,FA,Kevin,Berglund,PF,,25,2,6-6,80,22,12,20,21,15,14,13,14,D,19,45,10,Uncooperative,Average,Average,Average,"Studies hard",51,LT,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Denmark,84,0,0,0,1,1,0,0,0,0,0,0,,1,0,10,7,6,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:59.041","2026-02-15 19:06:41.967",NULL,3,0,0,0
1121,1121,17,"Milwaukee Bucks",Warren,Jones,SG,3-and-D,24,1,6-4,81,17,27,13,20,18,14,15,15,C,36,32,0,Average,Average,Legacy,Average,Average,51,LT,0,61,17,"Milwaukee Bucks",27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Idaho,USA,70,0,1,0,1,0,0,1,0,0,2,0,,0,0,10,0,0,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:00.211","2026-02-15 19:06:42.284",NULL,4,0,0,0
1122,1122,0,FA,Brian,White,C,"Rim Protector",24,3,7-1,91,20,13,20,10,10,24,22,24,A,75,43,6,Average,Average,"Prefers to play in a different state",Average,Average,51,LT,0,0,0,,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,,,0,0,0,,Montenegro,94,1,0,0,0,1,1,0,1,0,0,0,,1,0,20,6,5,,1,0,10,10,0,,,0,0,0,,0,"2023-08-19 22:54:38.943","2026-02-15 19:06:42.592",NULL,3,0,0,0
1123,1123,0,FA,Aaron,Riddle,SF,Slasher,24,1,6-5,76,15,10,23,13,13,16,15,10,F,18,38,0,Jokester,Average,Average,Average,"Less likely to get academic probation",51,LT,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Estonia,60,0,0,1,0,0,1,1,0,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:13.691","2026-02-15 19:06:42.894",NULL,2,0,0,0
1128,1128,31,"Vancouver Sea Lions",Ping,Kim,PG,"Floor General",26,3,5-11,82,23,18,12,18,20,17,9,20,A+,77,40,22,Irrational,Average,"Prefers to play in a different state",Average,Average,52,LOU,0,0,0,,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Vietnam,69,1,0,0,0,0,1,0,1,0,0,0,,0,0,10,5,4,,1,0,8,8,0,,,0,0,0,,0,"2023-08-19 22:54:39.238","2026-02-15 19:06:43.203",NULL,2,0,0,0
1129,1129,18,"Minnesota Timberwolves",Derek,Sandhu,PF,"Two-Way Wing",24,1,6-7,80,15,13,19,13,14,13,24,18,C+,41,41,0,Popular,"Hates Cleveland","Prefers to play for a national championship contender","Skips Leg Day",Average,52,LOU,0,33,18,"Minnesota Timberwolves",26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Cambodia,45,0,1,0,0,0,0,1,0,0,2,0,,0,0,10,0,0,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:28:28.752","2026-02-15 19:06:43.511",NULL,4,0,0,0
1130,1130,0,FA,Paul,Dunaway,C,"Stretch Bigs",24,1,6-10,60,10,10,12,6,2,18,18,22,C,36,40,0,Average,Adversarial,Average,Average,Average,52,LOU,0,0,0,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Montenegro,62,0,0,0,0,0,0,0,1,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:14.136","2026-02-15 19:06:43.821",NULL,2,0,0,0
1131,1131,0,FA,Antonio,Rios,SF,,24,1,6-7,68,19,14,15,20,10,12,13,16,A+,95,38,0,Average,Average,Average,Average,Average,52,LOU,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Kansas,USA,89,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,4,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:14.588","2026-02-15 19:06:44.137",NULL,2,0,0,0
1135,1135,0,FA,Christopher,Herrera,PG,"Floor General",26,3,6-1,73,21,13,15,19,21,11,11,7,B,59,37,10,Average,Average,Average,Quiet,Average,53,LSU,0,0,0,,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,SG,,0,0,0,Illinois,USA,32,0,0,0,0,1,0,1,1,0,0,0,,1,0,1.7,5,4,,1,0,6,11,0,,,0,0,0,,0,"2023-08-19 22:54:39.526","2026-02-15 19:06:44.451",NULL,3,0,0,0
1136,1136,21,"Oklahoma City Thunder",William,Woodard,SG,3-and-D,26,3,5-11,96,20,30,17,22,22,13,21,19,B-,53,38,14,Average,Average,Average,Average,Average,53,LSU,16,16,21,"Oklahoma City Thunder",25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,,Senegal,69,0,1,0,0,0,0,1,0,0,1,0,,0,0,20,4,3,,1,0,15,9,0,,,0,0,0,,0,"2023-08-19 22:47:11.333","2026-02-15 19:06:44.773",NULL,5,0,0,0
1137,1137,0,FA,Hugo,Eakins,C,"Stretch Bigs",26,3,7-1,54,6,11,13,4,5,12,15,20,B,49,39,20,Average,Average,"Prefers to play for an up-and-coming team",Average,Average,53,LSU,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,Guam,USA,26,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,6,5,,1,0,11,8,0,,,0,0,0,,0,"2023-08-19 22:54:39.818","2026-02-15 19:06:45.091",NULL,3,0,0,0
1138,1138,0,FA,Kevin,Thomas,C,"Stretch Bigs",25,2,6-11,74,5,5,20,7,12,17,22,18,B+,68,35,7,Average,"Drafted team discount",Average,Average,"Skips classes often",53,LSU,0,0,0,,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Chad,79,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.6,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:59.480","2026-02-15 19:06:45.415",NULL,2,0,0,0
1139,1139,0,FA,Christopher,Brock,C,"Stretch Bigs",25,2,7-1,57,7,9,13,5,14,8,12,18,C-,39,43,3,Average,Average,Average,Average,Average,53,LSU,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,France,36,0,0,0,1,0,0,1,0,0,0,0,,1,0,1.6,5,4,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:53:59.929","2026-02-15 19:06:45.737",NULL,2,0,0,0
1140,1140,0,FA,Bryan,Brown,SG,"Mid-Range Magician",25,2,6-3,73,24,13,7,22,19,15,16,11,D-,16,40,11,Average,Average,Average,"Gym Rat",Average,53,LSU,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Washington,USA,85,1,0,0,1,1,1,0,0,0,0,0,,1,0,1.6,6,5,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:54:00.374","2026-02-15 19:06:46.034",NULL,2,0,0,0
1141,1141,12,"Indiana Pacers",Matthew,Gullett,SG,"Mid-Range Magician",24,2,5-10,80,21,19,12,24,18,15,13,15,A+,100,41,8,Average,Average,Average,Complacent,"Less likely to get academic probation",53,LSU,0,3,12,"Indiana Pacers",27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,SF,,0,0,0,Illinois,USA,60,0,1,0,1,0,1,0,0,0,1,0,,0,0,10,4,3,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:40:01.859","2026-02-15 19:06:46.348",NULL,4,0,0,0
1142,1142,0,FA,Blake,Pennington,C,"Rim Protector",24,1,6-9,59,10,8,14,8,9,19,7,12,C+,54,39,0,Cooperative,Average,Open-Minded,"Skips Leg Day",Average,53,LSU,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Tennessee,USA,28,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:15.031","2026-02-15 19:06:46.658",NULL,3,0,0,0
1143,1143,0,FA,Jules,Basham,SF,,24,1,6-8,51,14,5,10,17,13,10,6,7,C,33,43,0,Disloyal,"Money motivated",Legacy,Average,Average,53,LSU,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,"American Samoa",USA,30,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.5,7,3,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:15.468","2026-02-15 19:06:46.972",NULL,2,0,0,0
1148,1148,0,FA,Paul,Jacquay,C,"Stretch Bigs",26,3,7-0,78,11,11,20,11,12,17,19,18,A+,85,46,15,Average,Average,Average,"Gym Rat",Average,54,MRSH,0,0,0,,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,C,,0,0,0,,Germany,75,1,1,0,1,1,0,0,0,0,0,0,,1,0,1.7,5,4,,1,0,10,13,0,,,0,0,0,,0,"2023-08-19 22:54:40.098","2026-02-15 19:06:47.296",NULL,1,0,0,0
1149,1149,0,FA,Michael,Kearns,C,"Stretch Bigs",26,3,6-11,58,2,7,14,6,5,16,18,19,C,44,36,9,Average,Average,Average,Hard-working,"Studies hard",54,MRSH,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,Missouri,USA,28,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,7,6,,1,0,9,12,0,,,0,0,0,,0,"2023-08-19 22:54:40.377","2026-02-15 19:06:47.732",NULL,2,0,0,0
1150,1150,0,FA,Richard,Bilbay,C,"Rim Protector",26,3,7-0,67,15,6,16,17,6,18,16,15,B,65,47,19,Average,Average,Fanboy,"Skips Leg Day",Tutor,54,MRSH,0,0,0,,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,C,,0,0,0,Florida,USA,62,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,4,3,,1,0,13,8,0,,,0,0,0,,0,"2023-08-19 22:54:40.672","2026-02-15 19:06:48.044",NULL,2,0,0,0
1151,1151,17,"Milwaukee Bucks",Taylor,Grimm,SG,"Defensive Dawg",25,3,6-3,97,20,21,17,19,30,15,13,17,A+,77,44,6,Average,Average,Average,Average,Average,54,MRSH,0,0,0,,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,PG,,0,0,0,Idaho,USA,85,0,1,0,0,1,1,0,1,0,0,0,,0,0,20,7,6,,1,0,9,13,0,,,0,0,0,,0,"2023-08-19 22:54:40.962","2026-02-15 19:06:48.357",NULL,3,0,0,0
1152,1152,0,FA,Eric,English,PF,"Pure Defender",25,2,6-6,72,11,11,20,11,13,15,14,12,D+,28,38,10,Jokester,Average,Average,"Streams too much","Skips classes often",54,MRSH,0,0,0,,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Kentucky,USA,26,0,0,0,1,0,0,1,0,0,0,0,,1,0,1.6,4,3,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:54:00.816","2026-02-15 19:06:48.676",NULL,5,0,0,0
1153,1153,29,"Toronto Raptors",Yin,Nguyen,SG,"Sharp Shooter",25,2,6-0,92,27,25,14,27,26,13,11,15,A,77,28,14,Disloyal,Average,Average,Average,Average,54,MRSH,0,6,29,"Toronto Raptors",26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,,,0,0,0,"South Dakota",USA,93,1,1,0,1,1,0,0,0,0,1,0,,0,0,20,7,6,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:40:21.671","2026-02-15 19:06:48.990",NULL,4,0,0,0
1154,1154,21,OKC,Doan,Lam,SG,"Mid-Range Magician",24,1,5-11,75,23,19,6,20,21,10,18,19,C+,49,42,0,Relaxed,Market-driven,Average,Average,Average,54,MRSH,0,7,19,"New Orleans Pelicans",29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,Oregon,USA,33,1,0,0,0,1,0,1,1,0,1,19,"New Orleans Pelicans",0,0,1.5,0,0,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:27:58.505","2026-02-15 19:06:49.302",NULL,4,0,0,0
1155,1155,0,FA,Philip,Amrhein,PF,"Two-Way Wing",24,1,6-5,52,5,3,9,6,15,13,10,13,A-,76,38,0,Average,Average,Average,Lazy,Average,54,MRSH,0,0,0,,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Hawaii,USA,54,0,1,0,1,0,0,1,0,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:15.922","2026-02-15 19:06:49.624",NULL,2,0,0,0
1156,1156,0,FA,Ismael,Villasenor,C,"Rim Protector",24,1,6-10,77,8,8,24,6,13,15,15,21,A-,66,40,0,Average,"Drafted team discount",Average,Average,Average,54,MRSH,0,0,0,,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Montana,USA,44,0,0,1,0,1,0,0,1,0,0,0,,1,0,1.5,7,2,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:30:16.371","2026-02-15 19:06:49.936",NULL,3,0,0,0
1161,1161,0,FA,David,Gosselin,SF,"Pure Defender",26,3,6-6,78,23,7,13,21,18,15,14,17,C,46,40,23,Average,Average,Open-Minded,Average,Average,55,UMD,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Norway,54,0,0,0,0,1,1,0,1,0,0,0,,1,0,1.7,6,5,,1,0,13,12,0,,,0,0,0,,0,"2023-08-19 22:54:41.240","2026-02-15 19:06:50.252",NULL,2,0,0,0
1162,1162,0,FA,Jeffrey,Valbrun,C,"Stretch Bigs",26,3,7-1,66,4,14,20,11,2,21,12,17,D-,21,39,11,Average,Average,Average,Average,Average,55,UMD,0,0,0,,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,C,,0,0,0,Colorado,USA,51,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,5,4,,1,0,16,11,0,,,0,0,0,,0,"2023-08-19 22:54:41.533","2026-02-15 19:06:50.569",NULL,2,0,0,0
1163,1163,13,"Los Angeles Lakers",Hyun,Xu,SG,,26,3,5-11,93,19,29,20,18,29,17,4,7,A,72,48,16,Average,Average,Average,Average,Average,55,UMD,0,0,0,,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,,"South Korea",94,0,1,0,0,1,1,0,0,0,0,0,,0,0,20,4,3,,1,0,6,14,0,,,0,0,0,,0,"2023-08-19 22:54:41.820","2026-02-15 19:06:50.894",NULL,3,0,0,0
